jobid,duration,size
     1,  7662,     1
     2, 23014,     1
     3, 12686,     3
     4,  8421,     2
     5, 31414,     1
     6,   490,     2
     7, 60097,     3
     8, 30989,     2
     9, 43101,     2
    10, 27623,     1
    11,  8972,     2
    12, 57268,     3
    13, 23442,     1
    14, 27213,     1
    15, 22611,     1
    16,   460,     2
    17,  3127,     1
    18, 21867,     1
    19,  9856,     4
    20, 25003,     2
    21, 10151,     2
    22,  1762,     1
    23, 24105,     3
    24,  2695,     2
    25,  1135,     3
    26,  4845,     1
    27, 41373,     4
    28,  6579,     2
    29, 25530,     2
    30, 36221,     1
    31, 26232,     4
    32,  8875,     1
    33,  2379,     4
    34,  5858,     2
    35, 18191,     4
    36, 21231,     3
    37, 18074,     2
    38, 17376,     2
    39,  8801,     3
    40,  6707,     2
    41, 11786,     2
    42, 18461,     3
    43,  8637,     4
    44, 32159,     2
    45, 53140,     2
    46, 42872,     3
    47,  6090,     2
    48, 13493,     2
    49,  8505,     2
    50,  4005,     2
    51,  2626,     1
    52,  5405,     1
    53, 16290,     2
    54,  7444,     2
    55, 13778,     1
    56, 61407,     2
    57, 43091,     2
    58,  1608,     1
    59, 27547,     3
    60, 18098,     2
    61,  4390,     2
    62, 77192,     2
    63, 88403,     2
    64, 20691,     1
    65, 11067,     3
    66,  9802,     1
    67, 10611,     3
    68, 20038,     1
    69,   515,     1
    70, 35692,     1
    71,  8676,     2
    72,  1307,     1
    73, 14499,     2
    74,  7719,     3
    75, 24110,     1
    76,  5053,     4
    77,  5519,     1
    78,  1822,     3
    79, 15706,     3
    80,  9731,     2
    81, 25387,     2
    82,  6423,     2
    83, 97212,     1
    84, 16555,     1
    85, 20211,     2
    86, 13872,     1
    87, 22070,     1
    88, 24577,     3
    89,   782,     1
    90,  3668,     1
    91,  8064,     2
    92, 42132,     3
    93,  7629,     1
    94, 18532,     3
    95, 79355,     2
    96, 11607,     2
    97, 12863,     2
    98,  1170,     1
    99, 15559,     3
   100,  3391,     1
   101,  8064,     3
   102, 57917,     4
   103, 24023,     2
   104, 29399,     1
   105, 26142,     3
   106,    33,     4
   107, 17021,     2
   108,  7526,     2
   109,  4950,     1
   110,    17,     2
   111,  5395,     1
   112,  6258,     4
   113, 30390,     1
   114,  7034,     3
   115, 33068,     2
   116,  2462,     1
   117,  2886,     3
   118,  9618,     1
   119,  2887,     1
   120, 23064,     2
   121,  9417,     2
   122, 52429,     2
   123, 47080,     2
   124, 12553,     2
   125,  9433,     1
   126,  4105,     1
   127, 45876,     2
   128, 14875,     1
   129,  7066,     4
   130, 19578,     1
   131,  7253,     2
   132, 49316,     1
   133,  3254,     1
   134,  9352,     1
   135, 99196,     2
   136, 46378,     1
   137,  9484,     2
   138, 10957,     1
   139, 13358,     2
   140, 14707,     3
   141, 17748,     2
   142, 20127,     1
   143,  1157,     1
